time in 0:hr:min:sec	time in 0:hr:min:sec	Annotations	Layer
0:00:00	0:02:36	<i>Radio venceremos is heard <br> from the center of the mountain, <br> transmiting its message <br> with the power of a people in arms. <br> At 6:00 AM <br> its transmission is heard, <br> it's Radio Venceremos <br> and it's the voice of our revolution. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> All the combatants are very motivated <br> because Radio Venceremos <br> has them well-informed. <br> All the combatants are very motivated <br> because Radio Venceremos <br> has them well-informed. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio.<br> 	Music
0:02:37	0:03:48	<i>The people, united, will never be defeated!<br> The people, united, will never be defeated!<br> The people, united, will never be defeated!<br> <br> On your feet, sing<br> Because we’re going to triumph.<br> Advance now<br> Flags of unity.<br> And you  shall come<br> Marching next to me<br> And you shall see<br> Your song and your flag bloom, <br> The light<br> Of a red dawn , <br> Announce now <br> The life that shall come<br> <br> On your feet, march<br> The people will triumph.<br> The life that will come<br> Will be better<br> To conquer<br> Our happiness<br> And in one shout<br> A thousand voices in combat will raise<br> Shall sing<br> A song of liberty<br> With determination<br> The fatherland will prevail. <br> <br> The people, united, will never be defeated<br> The people, united, will never be defeated<br> The people, united, will never be defeated<br>	Music
0:03:49	0:04:08	This is Radio Venceremos, the official voice of the Farabundo Marti for National Liberation Front (FMLN), transmiting its signal of liberty from El Salvador, Central  America, a territory in combat against oppression and imperialism. 	Radio Venceremos
0:04:09	0:04:19	<i>The fatherland is<br> forging the unity.<br> From north to south<br> people will mobilise,<br> from the salt flat<br> hot and mineral<br> to the southern forest,<br> 	Music
0:04:20	0:04:35	Radio Venceremos transmits its signal of freedom from the Francisco Sanchez Eastern Front, which is made up of the departments of Usulutan, San Miguel, La Union, and Morazán.	Radio Venceremos/FMLN
0:04:36	0:05:04	<i>The people will prevail<br> The people will prevail<br> Millions now,<br> Impose the truth, <br> They’re made of steel, <br> Heated battle<br> Their hand carry<br> Justice and reason<br> Woman, <br> With fire and bravery<br> You are here now<br> With the peasant.<br> And now the people--<br> 	Music
0:05:05	0:05:22	This is Radio Venceremos on the air, breaking the dictatorship's information siege. Racio Venceremos, an expression of popular power over territories controled by a people in arms.  	Radio Venceremos
0:05:23	0:05:38	<i>The people, united, shall never be defeated<br> The people, united, shall never be defeated<br> The people, united, shall never be defeated<br> The people, united, shall never be defeated<br> The people, united, shall never be defeated<br>	Music
0:05:39	0:06:34	In this manner, Radio Venceremos begins its broadcasts at this hour, sending a greeting on this the seventeenth anniversary of the creation of the Palestine Liberation Organization (PLO), [celebrated] tomorrow May 28th and which it will be seventeen years since the Organization's foundation for the liberation of Palestine, a sister movement in the Middle East that fights for its national liberation. Radio Venceremos greets the Palestian people in arms, greets this organization in its pursuit of peace, democracy, and the self-determination of a people in permanent combat against opression. 	Radio Venceremos
0:06:35	0:06:51	We will overcome, we will overcome. A thousand chains will have to be broken. We will overcome, we will overcome. Misery we will know how to overcome.	Music
