hr:min:sec 	hr:min:sec 	annotation	layer	index
0:00:09	0:02:39	<i>Radio Venceremos is heard<br> from the center of the mountain, <br> transmitting its message <br> with the power of a people in arms. <br> At 6:00 AM <br> its transmission is heard, <br> it's Radio Venceremos <br> and it's the voice of our revolution. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> It’s a powerful radio station, <br> and everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> <br> All the combatants are very motivated <br> because Radio Venceremos <br> has them well-informed. <br> All the combatants are very motivated <br> because Radio Venceremos <br> has them well-informed. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio. <br> It’s a powerful radio station, <br> everyone here listens to it, <br> it’s Farabundo Marti’s guerrilla radio.<br>	Music	Song
0:02:41	0:03:51	<i>The people, united, will never be defeated!<br> The people, united, will never be defeated!<br> The people, united, will never be defeated!<br> <br> On foot, singing<br> Because we’re going to triumph.<br> Advance now<br> Flags of unity.<br> And you will come<br> Marching next to mi<br> and in that way you will see<br> your song and your flag flourish.<br> The light <br> of a red dawn<br> now announces<br> the life which will come.<br> <br> <br> On foot, marching<br> The people will triumph.<br> The life that will come<br> Will be better<br> To conquer<br> Our happiness<br> And in one shout<br> A thousand voices in combat will raise<br> Shall sing<br> A song of liberty<br> With determination<br> The homeland will prevail.<br>	Music	Song
0:03:52	0:04:11	This is Radio Venceremos, the official voice of the Farabundo Marti for National Liberation Front, transmitting its signal of liberty from El Salvador, Central America, a territory in combat against oppression and imperialism.	Radio Venceremos/FMLN	
0:04:12	0:04:34	<i>The motherland is<br> forging unity.<br> From north to south<br> people will mobilize,<br> from the salt flat<br> hot and mineral<br> to the southern forest,<br> united in the fight and the work,<br> they will go,<br> they will cover the motherland.<br>	Music	Song
0:04:30	0:04:46	Radio Venceremos transmits its signal of freedom from the Francisco Sanchez Eastern Front, which is made up of the departments of Usulutan, San Miguel, La Union, and Morazán.	Radio Venceremos	
0:04:47	0:05:14	<i>…steely are<br> the ardent battalions,<br> their hands go,<br> carrying the justice and the reasoning.<br> Woman,<br> with fire and with courage,<br> now you are here<br> together with the working man.<br>  <br> And now the people<br> rise up in the fight<br> with the voice of a giant,<br> shouting: forward!<br>	Music	Song
0:05:15	0:05:40	Accompanying the Salvadoran people in their victorious progress, Radio Venceremos is on the air through the International Radio Band 40 Meters 7 Mega Hertz. Radio Venceremos, an expression of popular power over the territories controlled by our people in arms.	Radio Venceremos	
0:05:46	0:05:57	In this way, Radio Venceremos, the official voice of the Farabundo Marti National Liberation Front begins this hour’s broadcast.	FMLN	
0:05:58	0:06:44	And we begin with the optimism that overwhelms our people in these moments as they advance in their struggles. Our revolutionary forces have placed the dictatorship in an unsustainable position as they defeat all the attempts to annihilate the people’s forces. It’s a significant sign that the militias are strengthening in the entire country. They grow in number and discipline and revolutionary mystique. Our army strengthens and prepares for the decisive combats for the conquest of peace.	Radio Venceremos	
0:06:45	0:07:03	Salvadorans, strengthen our organization, and our discipline! At the most difficult hour, the world's countries see our advances as progress at a winning pace.	Radio Venceremos	
0:07:04	0:07:29	<i>Come,<br> Let us go now<br> Waiting if not knowing<br> The time has come<br> And there is no time to waste.<br> Come,<br> Let us go now.<br> Waiting if not knowing<br> The time has come<br> And there is no time to waste.<br> Love,<br> In the hands and in the heart,<br> We are all soldiers…<br>	Music	Song
0:07:30	0:08:03	Radio Venceremos sends a fraternal and combative greeting to our heroic Salvadoran people who, amid martial law, and the state of siege, and despite all the repression unleashed against it, breaks the chains that muzzle its protests and listen to the radio that it has built after long years of struggle.	Radio Venceremos	
0:08:04	0:08:27	Radio Venceremos, is the official voice of the Farabundo Marti National Liberation Front, and the voice of the Salvadoran people in arms. A heroic greeting to you, Salvadoran people. Radio Venceremos greets you. The present is a struggle, the future is ours!	Radio Venceremos <br>FMLN	
0:08:28	0:08:52	<i>And now the people<br> rises up in the fight<br> with the voice of a giant,<br> shouting: forward!<br>  <br> The united people will never be defeated,<br> the united people will never be defeated...<br>	Music	Song
0:08:54	0:09:10	Next we present an interesting interview between journalist Gregory Seltzer and Pierre Schori, International Secretary of Sweden’s Socialdemocratic Party.	Interviewee	Schori
0:09:11	0:09:18	(music)	Music	
0:09:19	0:09:27	We would be interested in knowing what is the present state of the pending process for a political solution for El Salvador.	Journalist	Seltzer
0:09:29	0:09:52	In Central America, I held conversations with President Jose Lopez Portillo, President Luis Herrera Campins, Napoleon Duarte, General Omar Torrijos, Commander Fidel Castro, and Guillermo Ungo of the Revolutionary Democratic Front.	Interviewee	Schori
0:09:53	0:10:17	Of course, the result of a concrete and detailed proposal from the Revolutionary Democratic Front and the Farabundo Marti for the National Liberation Front to the regime of Duarte--I cannot go into details for obvious reasons. It is something that needs to be managed by those directly involved.	Interviewee	Schori
0:10:18	0:10:19	Tell us what is possible to share.	Journalist	Seltzer
0:10:21	0:11:03	As of now, there is no positive response. The reality is that a viable solution was rejected by the United States and the Salvadoran administration. The conclusion I deduce from that is that only is there a clear desire to reach a political solution from the opposition, but there has been a method to reach this process. This method, this proposal continues to be valid and supported by the opposition, but of course, that cannot be the only thing.	Interviewee	Schori
0:11:04	0:11:27	On the other hand, another conclusion is that the only obstacle to ending this Salvadoran terror is the negative attitude towards the negotiating process on behalf of the United States and the military, the latter whose opinions differ from Washington’s.	Interviewee	Schori
0:11:29	0:11:43	We are reproducing an important interview of Pierre Schori, the International Secretary of Sweden’s Socialdemocrat party carried out by the journalist Gregory Seltzer.	Radio Venceremos	
0:11:44	0:12:00	To what do we owe that reluctant, resistant, and contrary position of the United States and the Democratic Christian military junta? What’s the expectation that harbors the purpose of this attitude?	Journalist	Seltzer
0:12:02	0:12:34	You can only guess in these types of situations. It would seem that they are trying to weaken as soon as possible the democratic opposition. That’s why they’re sending in weapons in innumerable quantities, weapons that are really not needed in El Salvador. At the same time, they’re trying to deceive world public opinion with the promise of the next elections.	Interviewee	Schori
0:12:35	0:13:11	This is absurd, to talk about elections when there’s a civil war and a war of liberation going on, elections in this country where the list of death row inmates includes the most important leaders of the opposition. Negotiations need to begin before the celebration of elections because otherwise the votes will be cast in the cemeteries.	Interviewee	Schori
0:13:12	0:13:32	Taking into consideration that you were in Honduras a few days ago and the information that flows towards Europe, you mentioned the great number of weapons that the United States sends. Is there an increase in the number of North American military consultants?	Journalist	Seltzer
0:13:34	0:14:19	There is and that’s very important. They say there are 54, which is a great number when compared to the number of officers in the Salvadoran Army, which is 500. That’s more than 10%, but it can also be noted that the North American military presence has a brutalizing effect. I noticed that. According to Honduras, for example, the attitude of the Honduran army on the border with El Salvador has hardened with the arrival of those consultants, according to Honduras.	Interviewee	Schori
0:14:20	0:15:06	What was the result of the process by Mr. Wischnewski in that region? Did it succeed or fail? We ask because, according to statements by newspapers like the New York Times and the Washington Post, Duarte as well as North American government authorities showed Mr. Wischenwsky a document attributed to the Revolutionary Democratic Front and the Farabundo Marti National Liberation Front which states that the process of politics and peace talks is nothing but a way to buy time with the objective of improving personal conditions at the negotiating table.	Journalist	Seltzer
