hr:min:sec 	hr:min:sec 	annotation	layer	index
0:01:02	0:01:09	<i>…will never be defeated!<br> The people united, will never be defeated!<br> The people united…	Music	Song
0:01:10	0:01:16	In Plomo Informativo, the news of our people.	Plomo Informativo	Plomo_Informativo
0:01:17	0:02:01	The exploitation and death of workers from the San Sebastián Central Minery. A report has reached the official voice of the Farabundo Martí National Liberation Front, the radio of Salvadoran people, and the news comes from the city of Santa Rosa de Lima, in the department of La Unión. The report expresses that two mine workers were captured because they were reported to the National Guard by the sycophantic administrative manager Cristobal Bonilla, Francisco Torres Menjibar, mine superintendent, along with Manuel Reyes and Rolando Saravia all of the San Sebastián Central Minery.	Plomo Informativo/ Combats/ Casualties	La Unión
0:02:02	0:02:26	One of the two captured workers managed to escape from the guard, while the other worker, after being cruelly tortured, was assassinated. Several days ago other workers were assassinated by order of the sycophants already mentioned. The names of the assassinated workers are Donato Salvador, Leonardo Blando, and Carmen Fuentes.	Plomo Informativo/ Torture/ Casualties	La Unión
0:02:27	0:02:57	The message also reports that the San Sebastián Mine exploiters have held worker salaries for several weeks. They laid off twenty workers several days ago without giving them the compensation due to them according to SVC 28.165, despite the multi-million profits from the sale of gold extracted from the wealthy mining exploitation.	Plomo Informativo	La Unión
0:02:59	0:03:52	Fellow workers, students, teachers, employees, military, compatriots, women in the marketplaces, residents of boroughs and slums, peasants, and employees. Radio Venceremos opens its microphones to reports of labor problems. Reports of your community, of the repressive actions of the dictatorship, and every type of information that you consider important for our people in this struggle. All information should go to Radio Venceremos through the Commission of the Press of Farabundo Martí National Liberation Front or any other channel of the revolutionary organizations.	Radio Venceremos	
0:03:53	0:03:59	More information, at the hour of joining our popular heroic militias.	Radio Venceremos	
0:04:00	0:04:29	The evident wear that the people’s forces are producing day to day on the genocidal army’s ranks can no longer be hidden from the genocidal leadership. The government’s Junta has acknowledged to the press, through the official spokesman of the armed forces, that they suffered 20 casualties in the last 24 hours.	Casualties	
0:04:30	0:05:11	Likewise, the dictatorship declared that in the last days close to 2,000 combatants of the FMLN constructed fortifications on Cerro Eramón, Chalatenango, a few kilometers from Cerrón Grande’s hydroelectric damn and the Cinco de Noviembre damn, the most important ones in the country. Additionally, the dictatorship has announced the preparation of an offensive against the combatants camping out on Cerro Eramón.	Combat	Chalatenango
0:05:12	0:06:00	Meanwhile, several hundred residents have been forced to abandon that region and to find refuge in the town of Ilobasco due to threats by the genocidal troop, which stated that they will give death to any that remain in the area. <br> In the next broadcast, Radio Venceremos will give an important report on the victorious advance of our people on the four fronts of the war. Up until this moment, Radio Venceremos presented Plomo Informativo, breaking the information siege of the fascist junta.	Radio Venceremos	Chalatenango
0:06:01	0:06:38	<i>We will give our lives for the fatherland,<br> We will fight to see her liberated.<br> Peace in this land we will sow,<br> Working day by day, we will live.<br> Tyrants and assassins wil be no more.<br> Children will play in the streets.<br> The winds of justice will return,<br> And they will blow on our people.	Music	Song
0:06:39	0:06:59	In the last few days, we’ve read with much surprise in the local newspapers the tone of the declarations made by the Interim archbishop of San Salvador, Monsignor Arturo Rivera y Damas, about the violence that prevails in our country.	Political Context	Church
0:07:00	0:07:19	We understand that one of the deepest concerns of the church during these historical and conflictive moments is precisely the painful spilling of blood that our country presently suffers.	Political Context	Church
0:07:20	0:07:39	In the same manner, we remember that when Monsignor Rivera y Damas assumed the position of Interim Archbishop of San Salvador, he stated that he would continue the path outlined by our unforgettable Monsignor Oscar Arnulfo Romero.	Political Context	Church
0:07:40	0:08:19	When we speak of an outlined path, we want to refer to something very clearly, Monsignor Romero’s line does not allow ambiguities. He was very clear and precise. He followed a coherent attitude in relation to the role of that the church much play in situations like the one our people are currently passing. He called injustice, repression, and genocide by name.	Political Context	Church
0:08:20	0:08:58	The day before his assassination, Monsignor Romero, in his last Sunday homily, said, “We want the government to take seriously the fact that reforms will not do any good if they’re soaked in blood. In the name of God, in the name of this suffering people, whose lamentations each day reach the sky more loudly. I plead with you, I beg you, I order you to cease the repression.”	Political Context	Church
0:09:01	0:09:19	There is no possible confusion. Monsignor Romero directly identified who promote the violence and that is why those promotors of violence assassinated him.	Political Context	Church
0:09:20	0:10:09	That is why Archbishop Rivera y Damas’s attitude is exceedingly strange when he states that the repression executed by right-wing extremist groups and by army personnel and the security corps has decreased. <br> A few minutes ago, we were listening from the lips of survivors of the El Junquillo massacre all the horror, all the horror of the instrumentalized genocide used by the genocidal junta. In the face of the fresh blood from children of the El Junquillo, we ask, “How is it possible to make such a declaration?”	Political Context	Church
0:10:10	0:10:32	Only a few days ago, news agencies stated that on Friday the 22nd of this month, 26 bodies were found outside of San Salvador with obvious signs of torture.	Political Context	Church
0:10:33	0:10:55	We will never know the total number of tortured people or of the forcibly disappeared by the genocidal junta. And regarding the terror that the dictatorship sows in peasant zones, this known throughout the entire world.	Political Context	Church
0:10:56	0:11:23	No. The regime has definitely not made any kind of concessions in its policy of extermination. On the contrary, we can say with utter certainty and with the support of an entire people that the government repression has multiplied by a thousand.	Political Context	Church
0:11:24	0:11:44	Additionally, Monsignor Rivera y Damas also stated that, in his opinion, our forces try to impede the people from recooperating trust to start seeking paths of normalization.	Political Context	Church
0:11:45	0:12:11	We want to believe that these statements were made from naiveté and not from malice. The reality is that the opposite is true and our people know this, and so do the ample democratic and progressive sectors of the entire world.	Political Context	Church
0:12:13	0:12:57	This misrepresentation is entirely absurd. The FMLN has been at the cutting edge before the concert of voices that demand a political exit to the conflict. In the interest of avoiding further pain and spilling of blood for out people, already afflicted enough, [the FMLN] has accepted and promoted concrete proposals to reach a political exit to the crisis.	Political Context	Church
0:12:59	0:13:49	Nonetheless, it’s more than evident that those who hinder our people are already looking for paths of normalization, and they’re precisely those that murder and kidnap members of known legal opposition parties while also demogogically talking about elections. As is in the cases of Eleuterio Cárcamo and Margarita Gastiasoro. Both of them were leaders in the Social Democratic Party, National Revolutionary Movement, MNR.	Political Context	Church
0:13:50	0:14:22	In the case of Dr. Guillermo Manuel Ungo, president of this same party, that incredibly has been accused by the terrorist regime, having mentioned him along with other politically renown personalities in a famous list published by the armed forces and other media.	Political Context	Church
0:14:23	0:15:09	It is a fact that all the statements formulated by Monseñor Rivera y Damas separate the Church from a neutral position because they are partisan and very dangerous. The only thing that these statements result in is support and they, to a certain extent, justify the criminal actions agains our people that paramilitary groups and members of the security forces and of the army carry out on a daily basis. 	Political Context	Church
0:15:10	0:15:37	We are certai that these types of attitudes do not contribute to achieve a favorable climate for a political exit to the present crisis. At the same time, they distance the church from the possibility of playing an important role in the mediation process.	Political Context	Church
0:15:38	0:16:12	<i>Socialism will be our future.<br> All together, we will be history's completion.<br> To fulfill, to fulfill, to fulfill<br> <br>  We will prevail, we will prevail<br> A thousand chains we'll have to break,<br> We will prevail, we will prevail<br> We will know how to overcome misery!<br> <br> We will prevail, We will prevail…	Music	Song
0:16:13	0:16:51	United to fight until final victory! Revolution or death! We will prevail!	Radio Venceremos	
0:16:52	0:16:57	<i>Peasants, soldiers, miners,<br> And the women of our country, as well,<br> Students, workers, white-collar and blue,<br> We will fulfill our duty.	Music	Song
